title,article_text,summary,article_date,source
"Pagpapaliban ng Brgy., SK polls sa Disyembre 2023, aprub sa House","Bumoto ang mga mi­yembro ng House Committee on Suffrage and Electoral Reforms para sa pagpapaliban ng Barangay at Sangguniang Kabataan (SK) elections na Disyembre 5, 2022 at itakda na lamang sa Disyembre 4, 2023. Sa ginanap na video conference ng komite sa pamumuno ni Rep. Maximo Dalog Jr. (Lone District, Mountain Pro­vince), 12 Kongresista ang pumabor sa panukala na ipagpaliban sa Disyembre 2023 ang Brgy. at SK elections sa bansa. Ito’y sa gitna na rin ng pagsusulong ng ilang mambabatas na huwag munang idaos ang nasabing eleksyon upang makatipid ng pondo ang pamahalaan lalo pa at malaki ang nagasta sa katatapos na May 9 , 2022 national polls. Una rito, inihayag ng Comelec na kung ipagpapaliban muna ngayong taon ang pagdaraos ng eleksyon sa nasabing level ay tinatayang nasa P5 bilyon ang magagastos ng gobyerno. Sumalungat naman sa botohan sina ACT Teachers Partylist Rep. France Castro at Kabataan Party­list Rep. Raoul Manuel sa katwirang tinatanggalan umano ng karapatan ang mga botante. Bukod dito, mag-o-overstaying na umano sa puwesto ang mga Brgy. officials at maging sa SK dahil sa ilang taon na palagi na lamang ipinagpapaliban ang halalan. Gayunman, pinagti­bay ng House panel ang mosyon na isagawa ang botohan sa Disyembre 2023 o tatlong taong termino. Nabatid pa na ang mga mahahalal sa puwesto sa Brgy. at SK polls ay magsisimula ang termino ?sa Enero 1, 2024.","Bumoto ang mga mi­yembro ng House Committee on Suffrage and Electoral Reforms para sa pagpapaliban ng Barangay at Sangguniang Kabataan (SK) elections na Disyembre 5, 2022 at itakda na lamang sa Disyembre 4, 2023.","August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203195/pagpapaliban-ng-brgy-sk-polls-sa-disyembre-2023-aprub-sa-house
"Army reservist na bodyguard ng wanted na Tsino, arestado","Inaresto ng mga tauhan ng Manila Police District (MPD) ang isang Philippine Army reservist na nagba-bodyguard sa isang Chinese national na wanted sa kasong estafa, kahapon ng tanghali sa Binondo, Maynila. Sa ulat ng MPD-Special Mayors Reaction Team (SMaRT), inihain nila ang warrant of arrest laban kay Jinxi Chen, alyas Henry Tan, dakong alas-11:50 kahapon ng tanghali sa loob ng Binondo Warehouse Depot sa Barraca cor. Tolenero Street, Binondo. Habang inihahain ang warrant of arrest na inilabas ni Judge Estela Alma Sigco-Caruso ng Cebu Regional Trial Court Branch 12, laban kay Jinxi Chen, humarang umano ang bodyguard nito na si Raymond Galicia, 47, nakatira sa Craig Street, Sampaloc. Natagpuan sa poses­yon niya ang isang kalibre 9mm na baril at isang magazine na may 13 laman na bala at isang ID ng AFP. 
Dinala na sa tanggapan ng MPD-SMaRt ang inarestong Tsino habang isinasailalim sa berepikasyon ang nakumpiskang baril buhat kay Galicia.","Inaresto ng mga tauhan ng Manila Police District (MPD) ang isang Philippine Army reservist na nagba-bodyguard sa isang Chinese national na wanted sa kasong estafa, kahapon ng tanghali sa Binondo, Maynila.","August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203197/army-reservist-na-bodyguard-ng-wanted-na-tsino-arestado
"Senate probe sa sugar importation, overpriced laptops kasado na","Itinakda na ng Senate Blue Ribbon Committee ang imbestigasyon kaugnay sa naharang na importasyon ng asukal at sa pagbili ng overpriced na laptop para sa mga public school teachers. Sa organizational meeting ng komite. napagkasunduan ng mga senador na dinggin ?sa Agosto 23 ang imbestigasyon  sa mga opisyal ng Sugar Regulatory  Administration na pumirma sa pag-angkat ng asukal. Habang ?sa Agosto 25 ang pagdinig sa pagbili ng Procurement Service ng Department of Budget and Management (PS-DBM) ng umano’y overpriced at outdated na laptop na ipapamahagi sa mga pampublikong guro ng DepEd. Bukod sa mga nabanggit , iimbestigahan na rin ng Blue Ribbon Committee ang umano’y ‘undue payment’ na ibinigay ng Land Transportation Office (LTO) sa isang joint venture na may kinalaman sa P3.19 bilyong Road IT Infrastructure  project. Ang imbestigasyon ay base sa inihaing resolusyon ni Senate Mino­rity leader Aquilino ‘Koko’ Pimentel kung saan base sa Commission on Audit (COA) report sinasabi nito na nagbayad ng walang legal na basehan ang LTO sa dayuhang information technology (IT) provider na Dermalog sa kabila ng hindi kumpletong paglipat ng deliverables para sa nasabing proyekto. Nangako naman si Sen. Francis Tolentino, chairman ng Blue Ribbon na hindi magiging ‘political circus’ ang isasagawang pagdinig. Giit ni Tolentino, ang imbestigasyon ay hindi para sa “witch hunt’ o sa ‘fishing expedition’ kundi malaman ang katotohanan kahit sino pa ang masaktan at gagawin nila kung ano ang tama.",Itinakda na ng Senate Blue Ribbon Committee ang imbestigasyon kaugnay sa naharang na importasyon ng asukal at sa pagbili ng overpriced na laptop para sa mga public school teachers.,"August 18, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/18/2203365/senate-probe-sa-sugar-importation-overpriced-laptops-kasado-na
"'Paturok na kayo': Marcos Jr. nagpa-COVID-19 booster in public, hinikayat mga Pinoy","Nagpaturok ng kanyang ""booster shot"" laban sa COVID-19 si Pangulong Ferdinand Marcos Jr. sa harap ng media ngayong Miyerkules, ito habang hinihikayat ang publiko na kumuha ng karagdagang shots para mapanatili ang proteksyon sa nakamamatay na sakit. Ito mismo ang ginawa ni Bongbong sa gitna ng PinasLakas Vaccine Campaign ng Department of Health (DOH) sa isang vaccination site sa SM City Manila. ""That's why I'm here... I asked my son [Ilocos Norte Rep. Sandro Marcos] to join me dahil... even younger people... to demonstrate how important it is to us na everybody get their booster,"" ayon kay Bongbong kanina. ""Sapat naman ang suplay natin ng mga doses, na meron pa rin tayong parating. At tinitignan nga natin 'yung bagong vaccine na baka sakali ito 'yung pinaka-effective kontra dito sa ating mga bagong variant na hinaharap."" ""That is the reason I have come here today to highlight the importance of having the booster shot.""     Ayon kay Marcos Jr., umabot na siya sa apat na buwan mula nang huling makatanggap ng bakuna kung kaya't pwede na siyang makakuha ng booster.  Bumababa kasi ang immunity laban sa sakit habang tumatagal ang panahon mula noong makakuha ng primary series at unang booster. ""[I am doing this] to show everyone that it [booster] is safe, it is effective and it is needed, with us opening the economy, us trying to open the schools, trying to bring everything back to a normal situation... and the importance that this booster will play in bringing us back to that condition,"" sabi ng presidente. ""Kami ngayon ay we will take our shot. I'm sure we will be fine... That is again an assurance not only for me but for everybody else."" Kinaklaro pa naman ngayon ng   sa DOH kung ito ang una o ikalawang booster nina Bongbong at Sandro, at kung eiligible na ba ang ikalawa kung ito na ang second booster. Hindi pa sila tumutugon. Kasalukuyang iginigulong ng DOH ang pagbibigay ng ikalawang booster shots sa mga senior citizens, healthcare workers, piling immunocompromised, atbp. Sa kabila nito, hindi pa ito itinuturok sa general population. Si Bongbong ay kasalukuyang 64-anyos. Aabot na sa 18,900 ang nila-launch na ""PinasLakas"" vaccination sites sa buong Pilipinas gaya na lang sa mga palengke, eskwelahan, lugar ng trabago, terminal, sambahan, atbp. Layon ng gobyernong ma-fully vaccinate ang 90% ng senior citizen population, maliban sa pagtataas ng booster dose coveragfe sa 50% ng buong bansa bago ang ika-8 ng Oktubre, bagay na tanda ng ika-100 araw ng Marcos Jr. administration. Una nang sinabi ni Health Undersecretary Carol Tanio ngayong linggo na aabot na sa  hanggang nitong ika-12 ng Agosto. Bukod pa 'yan sa  . Sa datos ng DOH kahapon,  . 71.52 milyon na sa kanila ang nakakumpleto ng primary series. Sa kabila nito, 17.15 milyon pa lang ang nakakukuha ng booster shots. Dumarami uli ang kaso ng COVID-19 sa bansa nitong mga nagdaang linggo at buwan, dahilan para umabot na sa 3.83 milyon ang nahahawaan. Sa bilang na 'yan, 36,190 ang aktibong kaso.  .","Nagpaturok ng kanyang ""booster shot"" laban sa COVID-19 si Pangulong Ferdinand Marcos Jr. sa harap ng media ngayong Miyerkules, ito habang hinihikayat ang publiko na kumuha ng karagdagang shots para mapanatili ang proteksyon sa nakamamatay na sakit.","August 17, 2022  1:21pm",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203291/paturok-na-kayo-marcos-jr-nagpa-covid-19-booster-public-hinikayat-mga-pinoy
State of public health emergency palalawigin – Pangulong Bongbong Marcos,"Palalawigin ni Pangulong Ferdinand Marcos, Jr. ang state of public health emergency sa Pilipinas hanggang katapusan ng 2022. Ayon kay Marcos, maraming ibinibigay ang international medical community kung nasa state of emergency ang bansa. Inihalimbawa ni Marcos ang World Health Organization na malaki ang naitulong sa pagdadala ng bakuna laban sa COVID -19. “Maraming mga binibigay sa international medical community kapag state of emergency. Isa na rito ang World Health Organization,” ani Marcos Kung ititigil aniya ang pagpapatupad ng public health emergency ay matitigil din ang mga ibinibigay sa Pilipinas ng international medical community. “Kung itigil natin ‘yung state of emergency, matitigil ‘yun. we are looking at ­amending the law in terms of procurement and all of that in the middle of an emergency. But that will take time. So malamang. i-extend natin hanggang sa katapusan ng taon,” ani Marcos. Matatandaan na idineklara ang state of public health emergency ni dating Pangulong Rodrigo Duterte noong Marso 8, 2020 upang agad na matugunan ang banta ng COVID-19.","Palalawigin ni Pangulong Ferdinand Marcos, Jr. ang state of public health emergency sa Pilipinas hanggang katapusan ng 2022.","August 18, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/18/2203362/state-public-health-emergency-palalawigin-pangulong-bongbong-marcos
Magnitude 5.1 na lindol tumama malapit sa Surigao del Norte — Phivolcs,"Niyanig ng magnitude 5.1 na lindol sa bandang Mindanao ngayong hapon, ito ilang linggo pa lang matapos ang   na pumatay sa ilan at nakasugat sa pagkarami-rami. Bandang 5:35 p.m., Miyerkules, nang mangyari ang lindol sa epicenter na 2 kilometro timogkanluran ng Socorro, Surigao del Norte.   
Earthquake Information No.1 
Date and Time: 17 August 2022 - 05:35 PM 
Magnitude = 5.1 
Depth = 129 km 
Location = 09.60°N, 125.95°E - 002 km S 41° W of Socorro (Surigao Del Norte)   Sinasabing ""tectonic"" ang pinanggalingan ng earthquake. Wala pa naman gaanong detalye pagdating sa intensities ng pagyanig.  mula sa naturang pagyugyog ng lupa at wala pa ring banta ng tsunami. Lunes lang nang   5 kilometro timogkanluran ng Magsaysay, Davao del Sur. Inaasahan ang pinsala at aftershocks mula rito.","Niyanig ng magnitude 5.1 na lindol sa bandang Mindanao ngayong hapon, ito ilang linggo pa lang matapos ang","August 17, 2022  6:26pm",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203318/magnitude-51-na-lindol-tumama-malapit-sa-surigao-del-norte-phivolcs
"Mga guro dapat, magpabakuna bago face to face classes - expert","Naniniwala ang infectious disease expert na si Dr. ­Rontgene Solante na kailangan na may mandato sa mga guro para magpabakuna sila laban sa COVID-19 bago magbukas ang ‘face-to-face classes’ sa bansa sa Agosto 22. “Isang bagay na gusto ko sana i-advocate, na sana ang mga guro naman, mga teachers will have a very high rate of immunization or vaccination. Kasi nakikita natin ngayon marami pang mga teachers ang hindi nagpapabakuna,” paalala ni Solante. Para umano makalikha ng mataas na ‘wall of immunity’ sa mga paaralan, kailangan naman na magsilbing ehemplo ang mga guro at sumunod sa ‘vaccination program’ ng pamahalaan. Marami umanong mga magulang ang nag-aalala sa kaligtasan ng kanilang mga batang anak lalo na kung hindi bakunado ang mga makakahalubilo sa mga paaralan. “So importante, we need to mandate vaccination also sa mga teachers, not only for the children,” giit ni Solante. Kailangan umano na magpalabas ng kautusan ang gobyerno para sa pagpapabakuna ng mga tauhan ng mga paaralan habang hinikayat din niya ang lahat ng mahigpit na pagsunod sa ‘minimum public health standards’ lalo na ang palagiang pagsusuot ng face mask, paghuhugas ng kamay at tamang bentilasyon ng mga silid-aralan.",Naniniwala ang infectious disease expert na si Dr. ­Rontgene Solante na kailangan na may mandato sa mga guro para magpabakuna sila laban sa COVID-19 bago magbukas ang ‘face-to-face classes’ sa bansa sa Agosto 22.,"August 18, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/18/2203367/mga-guro-dapat-magpabakuna-bago-face-face-classes-expert
Pagbili ng government supplies pinasuspinde ng PS-DBM,"Pinasuspinde ng bagong pamunuan ng Procurement Service of the Department of Budget and Ma­nagement (PS-DBM) ang non-common use supplies and equipment (Non-CSE). Ayon kay PS-DBM Executive Director Dennis Santiago, nagpalabas siya ng direktiba para suspindihin agad ang pagbili ng non-common use supplies and equipment kaya ibig sabihin nito ay hindi sila tatanggap ng anumang request para bumili ng supplies na hindi malimit gamitin sa mga opisina ng gobyerno. Sa halip ay pawang mga common use supplies and equipment (CSE) ang mapoproseso ang procurement. Ang CSE ay mga gamit sa araw-araw na operasyon sa mga tanggapan ng gobyerno tulad ng ballpen, papel, paper clip, stapler, folder at iba pang tulad nito. Nilinaw naman ni Santiago na tatapusin muna ang procurement ng iba pang Non-CSE at kapag nakumpleto na ay wala na silang tatanggapin na kasunod nito. Ang suspensyon sa procurement ng NCSE ay ginawa sa gitna ng panibagong kontrobersiya sa pagbili ng Department of Education (DepEd) ng mga laptop sa mga guro para makatulong sa pagpapatupad ng distance learning sa gitna ng COVID-19 pandemic.",Pinasuspinde ng bagong pamunuan ng Procurement Service of the Department of Budget and Ma­nagement (PS-DBM) ang non-common use supplies and equipment (Non-CSE).,"August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203188/pagbili-ng-government-supplies-pinasuspinde-ng-ps-dbm
"‘Ukay-ukay gawing legal, buwisan!’","Iminungkahi ni Sen. Raffy Tulfo sa Bureau of Customs (BOC) na gawing legal at patawan ng kaukulang buwis ang ukay-ukay mula sa labas ng bansa. Sa pagdinig ng Senate Committee on Ways and Means na pinamumunuan ni Tulfo, sinita niya ang BOC dahil sa patuloy na pagdami ng tindahan ng mga ukay-ukay na mula sa ibang bansa na umano’y ipinagbabawal ng batas. Ito ay dahil ang mga second hand na damit ay pang-donasyon dapat sa mga nasasalanta ng kalamidad at para sa mga mahihirap at hindi dapat itinitinda at dapat diretso ito sa Department of Social Welfare and Development (DSWD) o kaya ay sa mga charitable institution. Sa pagdinig, kinumpirma naman ni Customs Deputy Commissioner Edward Buco na bawal ibenta ang mga second hand na damit at may mga anti-smuggling operations na sila rito, subalit nagi­ging innovative na rin ang mga smuggler. Kaya giit ni Tulfo, ga­wing legal at patawan ng kaukulang buwis ang mga ukay-ukay na mula sa labas ng bansa na mas mabenta pa ngayon dahil sa mga online selling ngayong pandemic. Posibleng hindi umano kayang kontrolin ng BOC ang pagpasok ng ukay-ukay kaya dapat gumawa ng sistema o gawing legal ito dahil sa ilalim ng Republic Act 4653 ay ipinagbabawal ang importasyon ng mga damit para maprotektahan ang mga kalusugan ng publiko. Dapat umanong kausapin ng BOC ang mga mambabatas para baguhin ang batas at ga­wing legal ang ukay-ukay at pagbayarin ng tamang buwis.",Iminungkahi ni Sen. Raffy Tulfo sa Bureau of Customs (BOC) na gawing legal at patawan ng kaukulang buwis ang ukay-ukay mula sa labas ng bansa.,"August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203189/ukay-ukay-gawing-legal-buwisan
"Enrollment, walang extension","Nilinaw ng Department of Education (DepEd) kahapon na hindi pa napag-uusapan ng kagawaran ang pagpapalawig o ekstensiyon ng enrollment period para sa School Year 2022-2023. Ayon kay DepEd spokesperson Michael Poa, sa ngayon ay nananatili pa ring Agosto 22, ang deadline ng pagpapatala para sa pasukan. Hinikayat din naman ni Poa ang mga magulang na i-enroll na ang kanilang mga anak at huwag nang hintayin pa ang deadline. “Sa ngayon po, wala pa po tayong extension na napag-uusapan. Sa ngayon, hanggang August 22 and deadline ng enrollment natin,” dagdag pa niya. Samantala, iniulat din naman ni Poa na hanggang alas-7 ng Agosto 16, ay umaabot na sa 21,272,820 mag-aaral ang nag-enroll para sa pasukan. Ang naturang bilang ay kapos pa ng may pitong milyon mula sa target ng DepEd na 28.6 milyong mag-aaral. Sa kabuuang bilang ng enrollees, 18,722,393 ang nagpa-enroll sa public schools; 2,478,488 sa private schools, 71,939 sa state universities and colleges (SUCs) at local universities and colleges (LUCs). Pinakamarami pa rin ang enrollees sa Region 4A (Calabarzon) na umabot na sa 3,070,451; sumunod ang Region 3 (Central Luzon) na may 2,366,003 at National Capital Region (NCR) na may 2,295,245 habang pinakakaunti ang enrollees sa Cordillera Administrative Region (CAR) na nasa 352,004.",Nilinaw ng Department of Education (DepEd) kahapon na hindi pa napag-uusapan ng kagawaran ang pagpapalawig o ekstensiyon ng enrollment period para sa School Year 2022-2023.,"August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203192/enrollment-walang-extension
"De Lima binanatan 'wasak' na katarungan sa bansa sa ika-2,000 araw sa selda","Umabot na sa 2,000 araw sa pagkakabilanggo si dating Sen. Leila de Lima matapos arestuhin sa patung- dahilan para tawagin niyang ""broken"" ang sistema ng katarungan sa Pilipinas. Kilalang kritiko ng extrajudicial killings at human rights violations sa ilalim ng madugong gera kontra-droga ni Pangulong Rodrigo Duterte, sari-saring grupo't indibidwal na ang nananawagang mapalaya ang dating chairperson ng Commission on Human Rights (CHR). ""Today marks the 2000th day of my unjust detention. My continued detention on the basis of evidently and utterly false cases is yet another reminder to the world that the justice system in our country is broken,"" wika niya, Martes. ""I was detained, and persecuted, because I dared to speak for those who were oppressed against a populist tyrant."" Today marks the 2000th day of my unjust detention. My continued detention on the basis of evidently and utterly false cases is yet another reminder to the world that the justice system in our country is broken.  Pebrero 2021 nang   si De Lima sa isa sa tatlong kaso kaugnay ng iligal na droga. Humaharap pa siya sa dalawa. Dati na kasi siyang itinuturong may kinalaman diumano sa kalakalan ng narcotics sa loob ng New Bilibid Prison. Ngayong 2022 lang nang sunud-sunod bawiin ng self-confessed drug lord na sina  ,   at dating karelasyon at aide ni De Lima na si   ang mga testimonya sa korte at Senado laban sa opposition figure. Una nang   ni dating Justice Secretary Vitaliano Aguirre na pinwersa lang nila si Ragos para idiin si De Lima sa kaso. ""And by fabricating spurious charges against me to deplatform and silence me, the former wannabe dictator only proved my point and solidified his status as an oppressor, demonstrating his vindictiveness,"" dagdag pa niya."" ""I have lived my public life fighting for justice, especially for those who have no means to fight for themselves. Now, I also fight for my own deliverance from injustice and for vindication. And I will persist in doing so in spite of the futile attempts to break me."" I wait for the day when justice returns in our country. 
 
In the meantime,  Mayo 2022 lang nang   (mula sa magkaribal na Democratic at Republican parties) para palayain si De Lima sa dahilang bumaliktad ang maraming tumestigo sa kanya. Pebrero 2019 pa nang manawagan ang   sa dating administrasyong Duterte na palayain na si De Lima.  Bagama't   kamakailan ng Ombudsman ang reklamong panunuhol laban kay De Lima,   ang Department of Justice na hindi nila babawiin ang drug charges laban sa dating senadora. Aniya, korte na raw ang dapat magdesisyon sa kaso.","Umabot na sa 2,000 araw sa pagkakabilanggo si dating Sen. Leila de Lima matapos arestuhin sa patung- dahilan para tawagin niyang ""broken"" ang sistema ng katarungan sa Pilipinas.","August 17, 2022  11:10am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203279/de-lima-binanatan-wasak-na-katarungan-sa-bansa-sa-ika-2000-araw-sa-selda
NTC umapela sa CA sa prangkisa ng network,"Umapela ang ­National Telecommunications Commission (NTC) sa Court of Appeals (CA) upang baligtarin ang desisyon nito na pumapabor sa petisyon ng News and Entertainment Network Corporation (Newsnet) ukol sa pag-apruba sa prangkisa ng network. Sa petisyon ng NTC na nirerepresenta ng Solicitor General, kinukuwestiyon nito ang utos sa kanila na kilalanin ang inilabas ng Anti-Red Tape Authority’s (ARTA) noong Pebrero 12, 2020 na Declaration of Completeness and Order of Automatic Approval of franchise para sa Newsnet. Iginiit ng OSG na walang pagbabasehan na kautusan ng ARTA dahil binaligtad na nila ito sa pagpapalabas ng bagong kautusan noong Hunyo 17, 2022. Sa naturang kautusan noong Hunyo, sinabi ng ARTA na isinasaisantabi ang nauna nilang pagbibigay ng Declaration of Completeness and Order of Automatic Approval makaraan ang direktiba na inilatag ng kalihim ng Department of Justice na nakapaloob sa Justice Resolution sa OSJ Case No. 01-2020 noong July 9, 2021. Sa naturang desisyon ng DOJ, ikinatwiran na walang awtoridad ang ARTA na mag-isyu ng Declaration of Completeness at hindi rin maaaring pilitin ang NTC na maglabas ng Certificate of Public Convenience (CPC) kabilang ang paggamit ng ‘frequency’ ng network. Ang resolusyon na ito ng DOJ ay naging ‘final and executory’ nang ideklara ng Office of the President (OP) sa isang kautusan. Iginiit ng OSG na napaso na ang ‘legislative franchise’ ng Newsnet noong A­gosto 2021. Ikinokonsi­dera na paso na ang lahat ng ‘se­condary authorities’, mga permits at lisensya ng Newsnet dahil umano sa pagkabigo na ma-renew ang kaniyang prangkisa.",Umapela ang ­National Telecommunications Commission (NTC) sa Court of Appeals (CA) upang baligtarin ang desisyon nito na pumapabor sa petisyon ng News and Entertainment Network Corporation (Newsnet) ukol sa pag-apruba sa prangkisa ng network.,"August 18, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/18/2203351/ntc-umapela-sa-ca-sa-prangkisa-ng-network
"SRA chief, nagbitiw na rin","Nagbitiw na rin sa puwesto si Sugar Regulatory Administration (SRA) Administrator Hermenegildo Serafica sa gitna pa rin ng kontrobersiya sa importas­yon ng asukal. Sa isang pahinang liham ni Executive Secretary Vic Rodriguez kay Serafica na may petsang Agosto 15, 2022, nakasaad dito na tinanggap ni Pangulong Ferdinand Marcos Jr. ang kanyang resignation at ito ay “effec­tive immediately”. Kinumpirma naman sa Facebook post ni Press Secretary Trixie Cruz-Angeles na tinanggap ni Pangulong Marcos ang resignation letter nina Serafica gayundin ang pagbibitiw ni Atty. Roland Beltran ng Sugar Regulatory Board. Si Serafica ang ikatlong opisyal ng SRA na nagbitiw sa gitna ng kontrobersyal na pag-iisyu ng Sugar Order No. 4 na nagpapahintulot sa pag-aangkat ng may 300,000 metrikong toneladang asukal. Nauna nang nagbitiw si Agriculture Undersecretary Leocadio Sebastian at Atty. Beltran na kumakatawan sa sugar millers sa Sugar Board. Iginiit ni Angeles na ang SRO-4 ay itinutu­ring na iligal dahil ang inisyu nilang resolusyon ay walang approval ni Pangulong Marcos na siyang tumatayo bilang Agriculture Secretary at siya rin chairperson ng board.",Nagbitiw na rin sa puwesto si Sugar Regulatory Administration (SRA) Administrator Hermenegildo Serafica sa gitna pa rin ng kontrobersiya sa importas­yon ng asukal.,"August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203196/sra-chief-nagbitiw-na-rin
"P1.4 bilyong pondo sa libreng sakay sa EDSA carousel, aprub ng DBM","Aprubado na ng Department of Budget and Ma­nagement (DBM) ang  P1.4 bilyon na Special Allotment Release Order (SRO)  at ang Notice of Cash Allocation (NCA) na karagdagang pondo para sa pinalawig na “Libreng Sakay” program. Ayon kay DBM Secretary Amenah Pangandaman, ang paglalaan ng karagdagang pondo ay suporta sa hangad ni Pangulong Bongbong Marcos na palawigin ang Libreng Sakay ng Department of Transportation (DOTr) at ng Land Transportation Franchising and Regulatory Board (LTFRB) hanggang Disyembre. Sinabi ni Pangandaman, malaking tulong at ginhawa ang nasabing programa sa bulsa ng mga commuter lalo na sa mga estudyante at mga kabilang sa labor force lalo na sa 50 milyong mananakay mula Setyembre 1 hanggang Disyembre 31. Ang nasabing karagdagang pondo ay inilabas umano ng DBM noong Agosto 9 at makikinabang dito ang humigit kumulang 628 unit ng mga  public utility bus sa kahabaan ng Edsa busway route sa Metro Manila. Magugunita na nagpasya si Pangulong Marcos na palawigin pa ang mga libreng sakay sa Edsa Bus Carousel kasama ang libreng sakay para sa mga estudyante sa mga linya ng tren sa Metro Manila.",Aprubado na ng Department of Budget and Ma­nagement (DBM) ang  P1.4 bilyon na Special Allotment Release Order (SRO)  at ang Notice of Cash Allocation (NCA) na karagdagang pondo para sa pinalawig na “Libreng Sakay” program.,"August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203194/p14-bilyong-pondo-sa-libreng-sakay-sa-edsa-carousel-aprub-ng-dbm
"Sugar hoarders, pinatutugis ni Poe","Pinatutugis na ni Sen. Grace Poe ang mga umiipit sa supply ng asukal kaya nagkakaroon ng artificial shortage sa bansa. Ayon kay Poe, chairman ng Senate committee on economic affairs, na dapat ng gamitin ng buong lakas ang batas laban sa mga sugar hoarder na lumilikha ng artificial shortage at nagpapataas sa presyo ng asukal. Sa gagawing imbestigasyon ng Senate Blue Ribbon Committee, kailangan umano na matunton ang mga kumpanya o inbidwal na nabigyan ng import permit na umaangkat ng asukal at maaring umiipit sa supply. Paliwanag ni Poe, maaaring mayroong sindikato na paulit-ulit ang ginagawang ito sa pag-ipit ng supply para may dahilan para makapag-import dagdag pa ang pagpapataas sa presyo nito. Bukod sa kanila dapat din daw tugisin at makasuhan ang mga opisyal at kawani ng gobyerno sa likod ng hindi dapat na importasyon ng asukal. Ginawa ni Poe ang pahayag matapos na ibunyag ni Senate President Juan Miguel Zubiri na may mga nakaimbak sa mga Customs warehouse ng mahigit sa 126,000 imported na asukal na natitira mula sa 172,000 metric tons na dumating noong July 31. Mayroon pa umanong parating na 27,000 metric tons at base pa ito sa sugar order no. 3.",Pinatutugis na ni Sen. Grace Poe ang mga umiipit sa supply ng asukal kaya nagkakaroon ng artificial shortage sa bansa.,"August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203193/sugar-hoarders-pinatutugis-ni-poe
"Mandatory Evacuation Center Bills, muling iginiit ni Bong Go","Muling ipinanawagan ni Senator Christopher “Bong” Go ang pagpapasa ng kanyang panukala na pagtatayo ng evacuation center sa bawat munisipalidad, lungsod at lalawigan sa buong bansa. Sa ambush interview matapos personal na magbigay ng tulong sa mga nasunugan sa Bacoor City, Cavite noong Linggo, sinabi ni Go na isinampa niya muli ang panukalang batas sa 19th Congress bilang isa sa kanyang priority measures na tutugon sa kahinaan ng Pilipinas sa mga epekto ng pagbabago ng klima at iba pang natural o sakuna na dulot ng tao. “Meron na po akong nai-file sa Senado. Itong mandatory evacuation center. Itong Senate Bill 193. Na-i-file ko po noong July. Alam n’yo, kailangan po natin ng maaayos na evacuation center, malilinis na evacuation center sa mga siyudad, probinsya at munisipyo,” ani Go. “Tignan n’yo po nga­yon, eh, kung wala silang maayos na evacuation center, nagagamit po ang eskwelahan. Eh, kung gagamitin na po ito sa pagbubukas ng eskwela, masasakripisyo po ang pag-aaral kung gagamitin po bilang evacuation center,” dagdag niya. Sa ilalim ng “Mandatory Evacuation Center Act of 2022”, ang pagtatayo ng mga evacuation center sa lahat ng lokalidad ay iimplementa ng Department of Public Works and Highways. Ang mga iminungka­hing mandatory evacuation center ay dapat nakadisenyong kakayanin ang mga super typhoon o bilis ng hangin na hindi bababa sa 300 kilometro bawat oras at aktibidad ng seismic na hindi bababa sa 8.0 magnitude. Dapat ding maayos at malinis ang evacuation center kung saan pwedeng makapagpahinga ang mga bata, may sanitation, comfort room, at komportableng higaan bago makauwi sa kanilang tirahan ang mga bakwit. Bukod dito, naghain din si Go ng SBN 188 na nag­lalayong magtatag ng isang Department of Disaster Resilience, isang highly specialized agency na may tungkuling tiyakin ang adaptive, disaster-resilient at ligtas na mga komunidad; at SBN 192 na nagtatadhana para sa pagbuo ng isang programa sa pabahay at panlipunang proteksyon na magbibigay sa mga biktima ng sakuna.","Muling ipinanawagan ni Senator Christopher “Bong” Go ang pagpapasa ng kanyang panukala na pagtatayo ng evacuation center sa bawat munisipalidad, lungsod at lalawigan sa buong bansa.","August 17, 2022  12:00am",https://www.philstar.com/pilipino-star-ngayon/bansa/2022/08/17/2203186/mandatory-evacuation-center-bills-muling-iginiit-ni-bong-go
